	HG38.seqnames	HG38.start	HG38.end	HG38.strand
228	chr15	25375731	25375732	-
229	chr2	67846299	67846300	-
230	chr15	70101555	70101556	-
231	chr1	44294151	44294152	-
232	chrX	136872610	136872611	-
233	chr1	163472372	163472373	-
234	chrX	68996223	68996224	+
235	chr7	104126628	104126629	-
236	chr18	55406070	55406071	-
237	chr20	9573465	9573466	-
238	chr12	111077553	111077554	+
239	chr9	117594434	117594435	+
240	chrX	80808193	80808194	-
241	chr2	143162236	143162237	-
242	chr8	37380801	37380802	-
243	chrX	130340225	130340226	+
244	chr9	36865006	36865007	-
245	chr9	36986442	36986443	-
246	chr20	22575347	22575348	-
247	chr15	35290534	35290535	-
248	chr2	66443293	66443294	+
249	chr14	80549296	80549297	-
250	chr14	41608471	41608472	+
251	chr4	112343940	112343941	+
252	chr16	73053847	73053848	-
253	chr9	126441084	126441085	+
254	chr5	158978211	158978212	-
255	chr10	101445914	101445915	+
256	chr9	93911996	93911997	-
257	chr11	115501183	115501184	-
258	chr4	152352953	152352954	-
259	chr5	167844247	167844248	+
260	chrX	107747681	107747682	-
261	chr18	55280667	55280668	-
262	chr9	125541908	125541909	-
263	chr1	22323811	22323812	-
264	chr5	114362091	114362092	+
265	chr2	155947300	155947301	-
266	chr10	98172514	98172515	+
267	chrX	28587032	28587033	+
268	chr20	35333811	35333812	-
269	chrX	38561618	38561619	+
270	chr10	75977303	75977304	+
271	chrX	11758275	11758276	+
272	chr5	92695696	92695697	-
273	chr8	118110191	118110192	-
274	chr1	3219416	3219417	+
275	chr16	69698163	69698164	+
276	chr10	68337891	68337892	+
277	chr8	22775658	22775659	-
278	chr12	57529196	57529197	+
279	chr1	44524734	44524735	+
280	chr18	32937801	32937802	-
281	chr5	159034645	159034646	-
282	chrX	69617154	69617155	+
283	chrX	25011103	25011104	-
284	chr17	7712350	7712351	+
285	chr10	101749883	101749884	-
286	chr2	155729457	155729458	+
287	chr7	27700651	27700652	-
288	chr21	32918936	32918937	-
289	chr8	37302754	37302755	-
290	chr9	125598479	125598480	-
291	chr17	2179633	2179634	-
292	chr7	122329496	122329497	+
293	chr5	158978194	158978195	-
294	chr10	73444742	73444743	-
295	chr6	31622747	31622796	-
296	chr5	124742273	124742274	-
297	chr12	24230185	24230186	+
298	chrX	123963195	123963196	+
299	chr10	8504731	8504732	-
300	chr7	81820145	81820146	-
301	chr11	13440354	13440403	+
302	chr17	2179817	2179818	-
303	chr8	124557716	124557717	-
304	chr2	161624565	161624566	+
305	chr6	97668872	97668873	+
306	chr20	20498508	20498509	-
307	chr12	21828958	21828959	-
308	chr7	27110782	27110783	-
309	chr16	55444134	55444135	-
310	chrX	33339551	33339552	-
311	chr1	243713569	243713618	+
312	chr9	125550090	125550091	-
313	chrX	69082381	69082382	-
314	chr20	19974746	19974747	+
315	chr9	125541972	125541973	-
316	chr5	88663939	88663940	-
317	chr3	25594606	25594607	+
318	chr5	124127726	124127727	-
319	chr10	123428470	123428471	+
320	chrX	71536189	71536190	+
321	chrX	23334910	23334911	+
322	chr6	48068112	48068113	-
323	chr10	78284576	78284577	+
324	chr2	208039905	208039954	-
325	chr5	150542966	150542967	+
326	chrX	28587529	28587530	+
327	chr9	16828802	16828803	-
328	chr10	98173452	98173453	+
329	chr7	27113517	27113518	-
330	chr7	27141942	27141943	-
331	chr5	126918158	126918159	-
332	chr5	179619301	179619350	-
333	chr7	27136585	27136586	+
334	chr2	144567926	144567927	+
335	chr1	112917978	112918027	+
336	chr8	37675403	37675404	-
337	chr17	48623087	48623088	-
338	chr5	178617559	178617560	-
339	chrX	136209314	136209315	+
340	chr2	161624430	161624431	+
341	chrX	53422537	53422538	-
342	chr10	75904710	75904711	+
343	chr15	72544887	72544888	+
344	chr6	51284311	51284312	-
345	chr1	154550938	154550939	-
346	chr4	104425309	104425310	+
347	chrX	33339514	33339515	-
348	chr12	23906499	23906500	-
349	chrX	153971782	153971783	-
350	chr16	72858681	72858682	-
351	chr15	77739318	77739319	-
352	chr2	144452593	144452594	-
353	chr12	23906507	23906508	-
354	chr7	27142048	27142049	-
355	chr8	92455196	92455197	-
356	chr2	144452672	144452673	-
357	chr15	72555859	72555860	+
358	chr1	27553231	27553232	-
359	chr8	37380844	37380845	-
360	chr2	66171218	66171219	+
361	chr20	33562505	33562506	+
362	chrX	68433824	68433825	-
363	chrX	103255183	103255184	-
364	chr10	117095113	117095114	-
365	chr5	139952621	139952622	-
366	chrX	17859586	17859587	-
367	chrX	53684481	53684482	-
368	chr8	22775666	22775667	-
369	chr3	55518603	55518604	-
370	chr5	123171499	123171500	+
371	chr1	182855635	182855636	+
372	chr14	28766807	28766808	+
373	chr8	37380846	37380847	-
374	chr20	35739544	35739545	-
375	chr2	66696596	66696597	-
376	chr17	7712376	7712425	+
377	chr20	20493183	20493184	-
378	chr12	11759080	11759081	+
379	chr20	22562409	22562410	-
380	chrX	71536228	71536229	+
381	chr12	17159981	17159982	-
382	chr5	129748247	129748248	+
383	chr20	44411374	44411375	+
384	chrX	17655848	17655849	+
385	chr12	103423349	103423350	-
386	chr6	31622849	31622898	-
387	chr17	7712364	7712365	+
388	chr16	73776138	73776139	-
389	chr14	75166127	75166128	-
390	chr19	41935927	41935928	+
391	chr9	14203543	14203544	-
392	chr1	158019730	158019731	+
393	chr1	3169997	3169998	+
394	chr1	110594699	110594700	-
395	chrX	139204772	139204773	-
396	chr20	52441913	52441914	+
397	chr2	143624120	143624121	+
398	chr19	42252421	42252422	-
399	chr3	147408175	147408176	+
400	chr15	73592367	73592368	-
401	chr5	3854323	3854372	+
402	chrX	71545350	71545351	+
403	chr10	75904649	75904650	+
404	chr6	15400963	15400964	+
405	chr5	94884534	94884535	-
406	chr1	154970033	154970034	-
407	chr6	90218683	90218684	-
408	chr19	30004005	30004006	+
409	chr3	114400937	114400938	-
410	chr1	213829976	213829977	-
411	chr9	79395960	79395961	+
412	chr7	128095304	128095305	+
413	chr12	56187187	56187236	+
414	chr5	142499826	142499827	+
415	chr13	71523072	71523073	-
416	chr1	44610307	44610308	+
417	chr21	32918929	32918930	-
418	chr22	40261868	40261869	+
419	chr20	53346197	53346198	+
420	chrX	25003726	25003727	-
421	chrX	38561554	38561555	+
422	chr11	125117687	125117688	+
423	chrX	39519149	39519150	-
424	chr5	92695742	92695743	-
425	chr9	125541963	125541964	-
426	chr20	43459306	43459307	+
427	chr9	34662285	34662286	-
428	chr7	27111833	27111834	-
429	chrX	70445188	70445189	+
430	chr5	140041902	140041903	-
431	chr16	24815277	24815278	+
432	chr12	98260058	98260059	-
433	chr17	17784102	17784103	+
434	chr1	161119549	161119550	+
435	chr7	101948104	101948105	+
436	chr15	37880443	37880444	+
437	chr22	40261947	40261948	+
438	chr19	13025375	13025376	+
439	chr6	84449447	84449448	-
440	chr6	103893252	103893253	-
441	chr10	75904655	75904656	+
442	chr1	44524858	44524859	+
443	chr7	27133899	27133900	+
444	chr1	218372278	218372279	+
445	chr4	79495720	79495721	+
446	chr10	9285934	9285935	+
447	chr13	97356831	97356832	+
448	chr18	47594400	47594401	+
449	chr1	47685024	47685025	+
450	chr17	51046615	51046616	-
451	chrX	25004718	25004719	-
452	chr1	38354043	38354044	-
453	chr6	10316465	10316466	-
454	chr17	2076566	2076567	-
455	chrX	28587203	28587204	+
456	chrX	72132112	72132113	+
457	chr2	103166786	103166787	-
458	chr6	143608163	143608164	+
459	chr10	112956804	112956805	+
460	chr6	48068585	48068586	-
461	chr22	27842961	27842962	-
462	chr7	27113540	27113541	-
463	chr15	53252189	53252190	+
464	chr1	44537028	44537029	+
465	chrX	134899133	134899134	-
466	chr3	9552580	9552581	-
467	chr7	35466100	35466101	-
468	chr17	17784090	17784091	+
469	chrX	41922285	41922286	-
470	chr3	38459337	38459338	+
471	chrX	80808155	80808156	-
472	chr7	27129891	27129892	-
473	chr8	71051877	71051878	+
474	chr19	13007787	13007788	+
475	chr22	19408386	19408387	-
476	chr9	125549733	125549734	-
477	chr1	218034665	218034666	+
478	chr14	29390654	29390655	+
479	chrX	63754620	63754621	-
480	chr1	163673850	163673851	-
481	chr7	38863761	38863762	-
482	chr17	81404320	81404321	+
483	chrX	137885867	137885868	+
484	chr17	81342389	81342390	-
485	chr13	97356777	97356778	+
486	chrX	123963116	123963117	+
487	chr21	16605786	16605787	+
488	chr10	101486179	101486180	+
489	chr19	30003972	30003973	+
490	chrX	148501094	148501095	+
491	chr7	113083679	113083680	-
492	chr21	33162646	33162647	-
493	chr7	27136023	27136024	+
494	chr2	104417573	104417574	+
495	chr1	12433526	12433527	+
496	chr10	76282294	76282295	+
497	chr1	27562376	27562377	-
498	chr1	44617500	44617501	+
499	chrX	139204764	139204765	-
500	chr9	16236605	16236606	-
501	chr1	27571855	27571856	-
502	chr1	33334128	33334129	-
503	chr19	38390371	38390372	+
504	chrX	120560543	120560544	-
505	chr8	38318034	38318035	-
506	chrX	153537880	153537881	+
507	chrX	31836787	31836788	-
508	chr16	11700546	11700547	-
509	chr2	144452655	144452656	-
510	chr1	33334138	33334139	-
511	chr2	43463424	43463425	-
512	chr7	27129767	27129768	-
513	chr5	93887211	93887212	-
514	chr9	14307265	14307266	-
515	chr14	50986101	50986102	-
516	chr14	23090078	23090079	-
517	chr11	47355405	47355406	-
518	chr9	8784237	8784238	-
519	chr2	59572496	59572497	-
520	chr17	2179696	2179697	-
521	chr17	48555491	48555492	-
522	chr1	27294549	27294550	+
523	chr1	44524899	44524900	+
524	chr17	2068431	2068432	-
525	chr9	83975582	83975583	-
526	chr5	140000544	140000545	-
527	chr19	13007808	13007809	+
528	chr8	18886672	18886673	-
529	chr1	244054499	244054500	+
530	chr5	169980435	169980436	-
531	chr4	150411743	150411744	-
532	chr8	76698864	76698865	+
533	chr14	32725344	32725345	+
534	chr7	115812971	115812972	-
535	chr1	61447799	61447800	+
536	chr5	139637487	139637488	-
537	chr8	94436988	94436989	-
538	chr1	10540439	10540440	+
539	chr19	3573753	3573754	+
540	chr4	104425314	104425315	+
541	chr10	100804133	100804134	+
542	chr8	92273108	92273109	-
543	chr2	16425879	16425880	+
544	chr17	51046523	51046524	-
545	chrX	130340350	130340351	+
546	chrX	134171836	134171837	-
547	chr17	48294214	48294215	-
548	chr7	31235443	31235444	+
549	chrX	137426917	137426918	-
550	chr12	23771529	23771530	-
551	chr12	5811336	5811337	-
552	chr4	15144410	15144411	-
553	chr8	64379235	64379236	+
554	chr10	74957435	74957484	-
555	chrX	130340331	130340332	+
556	chr3	137264740	137264741	-
557	chr1	100268183	100268184	+
558	chr11	118909377	118909378	-
559	chr2	144651095	144651096	+
560	chr1	12478486	12478487	+
561	chr5	67377967	67377968	+
562	chrX	72069661	72069662	+
563	chr6	42868272	42868273	+
564	chr14	33642358	33642359	+
565	chr6	157051078	157051079	+
566	chr1	44617520	44617521	+
567	chr1	39268519	39268520	+
568	chr11	57794016	57794017	+
569	chr5	135184265	135184266	+
570	chr3	152299451	152299452	+
571	chr6	31622845	31622894	+
572	chr21	32457624	32457625	+
573	chr15	40069286	40069287	+
574	chrX	132957325	132957326	-
575	chr15	96590156	96590157	+
576	chr1	218156763	218156764	+
577	chr12	70598943	70598944	-
578	chr9	123777340	123777341	-
579	chr3	1092944	1092945	+
580	chr2	23663881	23663882	+
581	chrX	53321002	53321003	-
582	chr17	79096779	79096780	-
583	chr4	104425332	104425333	+
584	chr13	71525217	71525218	-
585	chr2	74281733	74281734	-
586	chrX	134374445	134374446	+
587	chr2	143162267	143162268	-
588	chr19	807589	807590	+
589	chr18	32847936	32847937	+
590	chr12	23951016	23951017	-
591	chr2	105081457	105081458	+
592	chr15	97085723	97085724	+
593	chr2	23663701	23663702	+
594	chr1	117022347	117022348	+
595	chr10	118258785	118258786	+
596	chr22	24322895	24322896	+
597	chr6	108227156	108227157	-
598	chr1	10664174	10664175	-
599	chr4	79964480	79964481	-
600	chr9	16705214	16705215	-
601	chrX	69505758	69505759	+
602	chr18	25518085	25518086	-
603	chr7	114502708	114502709	+
604	chr17	28196302	28196303	+
605	chr11	115606570	115606571	+
606	chr3	157151816	157151817	-
607	chr22	40261872	40261873	+
608	chrX	153688334	153688335	+
609	chr2	43463573	43463574	-
610	chr2	58767936	58767937	+
611	chr2	19574988	19574989	+
612	chr18	47561421	47561422	+
613	chrX	49879050	49879051	-
614	chr21	34887100	34887101	-
615	chr1	200407231	200407232	-
616	chr9	125886543	125886544	+
617	chr8	58833219	58833220	-
618	chr13	97356741	97356742	+
619	chrX	137429741	137429742	-
620	chrX	137429625	137429626	-
621	chrX	71536184	71536185	+
622	chr2	155729351	155729352	+
623	chr2	104434476	104434477	+
624	chr18	55387642	55387643	-
625	chr21	16419335	16419336	+
626	chr2	161356198	161356199	+
627	chr2	161624311	161624312	-
628	chrX	71253936	71253937	-
629	chrX	83508483	83508484	+
630	chr10	74589425	74589426	+
631	chr1	10714690	10714691	-
632	chr13	99743274	99743275	+
633	chr16	53967335	53967384	+
634	chr9	123569245	123569246	-
635	chr9	17005413	17005414	+
636	chr17	36791993	36792042	+
637	chr2	144402436	144402437	-
638	chr11	65557680	65557681	-
639	chr7	131623431	131623432	-
640	chr10	100804071	100804072	+
641	chr4	150411666	150411667	-
642	chr11	126059624	126059625	-
643	chr12	12187074	12187123	+
644	chr3	184320163	184320164	+
645	chr3	158406886	158406887	+
646	chrX	132217136	132217137	-
647	chr8	115419734	115419735	-
648	chr1	164712343	164712344	+
649	chr12	24020735	24020736	-
650	chr22	42364641	42364642	-
651	chr2	41877511	41877512	+
652	chr17	48307511	48307512	+
653	chr10	75397935	75397936	-
654	chrX	41922257	41922258	-
655	chr1	44524776	44524777	+
656	chr7	27115292	27115293	+
657	chr2	199747552	199747553	+
658	chr9	16828882	16828883	-
659	chrX	154019677	154019678	-
660	chr22	24548917	24548918	-
661	chr10	75904566	75904567	+
662	chr5	173890857	173890858	+
663	chr12	76821110	76821111	+
664	chr9	80066936	80066937	+
665	chr1	218156638	218156639	+
666	chr1	200079405	200079406	+
667	chr1	56899089	56899090	+
668	chrX	17854784	17854785	-
669	chr10	73519884	73519885	-
670	chr2	16227155	16227156	-
671	chr4	185593928	185593929	-
672	chr5	51389864	51389865	+
673	chr7	27136631	27136632	+
674	chr19	13007831	13007832	+
675	chrX	16869153	16869154	-
676	chr1	61453188	61453189	+
677	chr11	128690157	128690158	+
678	chr10	129952737	129952738	-
679	chr5	158978244	158978245	-
680	chr2	53949275	53949276	-
681	chr3	114496439	114496440	+
682	chr12	23771503	23771504	-
683	chrX	24149716	24149717	+
684	chr4	175812413	175812462	-
685	chrX	140439647	140439648	+
686	chrX	137747408	137747409	+
687	chr14	28768274	28768275	+
688	chr9	125541957	125541958	-
689	chr16	24776988	24776989	+
690	chr22	29291488	29291489	+
691	chrX	48575861	48575862	+
692	chr18	21980950	21980951	+
693	chr2	104901521	104901522	+
694	chr3	152299432	152299433	+
695	chr20	44411332	44411333	+
696	chr6	15400866	15400867	+
697	chr12	80937690	80937691	-
698	chrX	68832365	68832366	+
699	chrX	72309032	72309033	-
700	chr10	101749780	101749781	-
701	chr21	16419339	16419340	+
702	chr1	218156751	218156752	+
703	chr21	32918990	32918991	-
704	chr17	48586581	48586582	-
705	chr17	39568894	39568895	+
706	chr14	63539630	63539631	-
707	chr2	144452613	144452614	-
708	chr6	99185743	99185744	+
709	chr9	125549928	125549929	-
710	chr9	81684758	81684759	-
711	chr15	75843729	75843730	+
712	chr9	95056100	95056101	+
713	chrX	132957241	132957242	-
714	chr1	44619612	44619613	+
715	chr17	81404227	81404228	+
716	chr17	51046610	51046611	-
717	chrX	133983905	133983906	-
718	chr11	115391017	115391018	-
719	chr9	125541931	125541932	-
720	chr4	104425236	104425237	+
721	chr10	74683883	74683884	+
722	chr17	2076588	2076589	-
723	chr14	28764284	28764285	+
724	chr3	9403015	9403016	+
725	chr1	61318400	61318401	+
726	chr6	100281671	100281672	-
727	chr4	150411794	150411795	-
728	chr11	10805982	10805983	-
729	chr1	213996877	213996878	+
730	chr13	59494631	59494632	+
731	chr2	155729473	155729474	+
732	chr1	218156741	218156742	+
733	chr2	104408329	104408330	+
734	chr9	123769938	123769939	-
735	chrX	25019815	25019816	-
736	chr6	31622863	31622912	-
737	chr1	198391812	198391861	+
738	chr3	181561707	181561708	+
739	chr21	33557440	33557441	+
740	chr9	14096757	14096758	-
741	chrX	28587467	28587468	+
742	chr12	121328519	121328520	-
743	chr21	16309494	16309495	-
744	chr4	104425234	104425235	+
745	chr15	70062525	70062526	-
746	chr10	75904701	75904702	+
747	chr14	68789102	68789103	-
748	chr5	65262816	65262817	-
749	chr13	94662560	94662561	-
750	chr1	159141673	159141674	-
751	chr2	143162260	143162261	-
752	chr3	169152554	169152555	-
753	chr10	61974801	61974802	+
754	chr21	16071348	16071349	+
755	chr8	37302986	37302987	-
756	chr16	72787665	72787666	-
757	chr20	53003678	53003679	+
758	chr11	34632376	34632377	+
759	chr14	36269181	36269182	-
760	chr1	12433586	12433587	+
761	chr17	48149677	48149678	-
762	chr2	80303498	80303499	-
763	chr5	88722702	88722703	+
764	chr10	8504696	8504697	-
765	chr9	125462919	125462920	-
766	chr18	78126800	78126801	+
767	chr3	9434088	9434089	+
768	chr17	39579672	39579673	+
769	chr7	27136706	27136707	+
770	chr5	77852279	77852280	-
771	chr1	46497887	46497888	+
772	chr9	20606814	20606815	-
773	chr18	55387729	55387730	-
774	chrX	23334921	23334922	+
775	chr8	37380796	37380797	-
776	chr20	19974792	19974793	+
777	chrX	33339437	33339438	-
778	chr7	91169214	91169215	+
779	chrX	137566094	137566095	+
780	chr9	131432667	131432668	+
781	chr11	8283323	8283324	-
782	chrX	84502496	84502497	-
783	chrX	68832355	68832356	+
784	chr2	65914068	65914069	+
785	chr9	12775767	12775768	+
786	chrX	11758271	11758272	+
787	chrX	137429727	137429728	-
788	chr1	44632912	44632913	+
789	chr17	48572937	48572938	-
790	chr2	66700307	66700308	-
791	chr17	29108961	29108962	-
792	chr4	1576244	1576245	-
793	chr20	11919159	11919160	+
794	chrX	69616457	69616458	+
795	chr5	158978262	158978263	-
796	chr1	44543354	44543355	+
797	chr2	143440486	143440487	+
798	chr1	163673859	163673860	-
799	chrX	25009851	25009852	-
800	chr2	182982893	182982894	-
801	chr1	39563909	39563910	-
802	chr2	144582991	144582992	+
803	chr5	158801443	158801444	-
804	chr17	29066151	29066152	-
805	chr3	114624887	114624888	-
806	chrX	28587481	28587482	+
807	chr20	43459270	43459271	+
808	chr17	48051362	48051363	+
809	chr7	36986594	36986595	-
810	chrX	129075867	129075868	-
811	chr1	44524879	44524880	+
812	chr9	123438498	123438499	-
813	chrX	39519222	39519223	-
814	chr5	90356862	90356863	-
815	chr8	37380881	37380882	-
816	chr3	128496662	128496663	+
817	chr1	10743958	10743959	-
818	chr7	122329367	122329368	+
819	chr7	122329367	122329368	+
820	chrX	72307024	72307025	-
821	chrX	39175134	39175135	-
822	chr7	27143647	27143648	-
823	chr1	211276333	211276334	+
824	chr7	105639435	105639436	-
825	chr11	8658580	8658581	-
826	chrX	39821622	39821623	-
827	chr12	57529181	57529182	+
828	chr1	44617535	44617536	+
829	chrX	123960925	123960926	+
830	chrX	137235230	137235231	-
831	chr9	83975526	83975527	-
832	chr8	41629555	41629556	+
833	chrX	41921863	41921864	-
834	chrX	132957345	132957346	-
835	chr17	2179694	2179695	-
836	chrX	153688320	153688321	+
837	chr19	30686844	30686845	+
838	chrX	132217147	132217148	+
839	chr3	17935401	17935402	-
840	chr15	65156852	65156853	-
841	chr1	44603244	44603245	+
842	chr21	16071358	16071359	+
843	chr2	179483425	179483426	-
844	chr11	16081959	16081960	-
845	chr1	12433540	12433541	+
846	chr9	78857479	78857480	-
847	chr16	62036415	62036416	-
848	chr11	10805968	10805969	-
849	chr10	77637405	77637406	-
850	chr22	40261943	40261944	+
851	chr10	101486139	101486140	+
852	chr1	159141664	159141665	-
853	chr14	76334523	76334524	+
854	chr6	157628464	157628465	+
855	chr17	7015868	7015869	+
856	chrX	25019651	25019652	-
857	chr2	189179761	189179762	-
858	chr14	63539622	63539623	-
859	chr3	71135600	71135601	-
860	chr10	100877248	100877249	-
861	chr11	15622697	15622698	+
862	chr20	20498588	20498589	-
863	chr2	200860205	200860206	-
864	chrX	71224412	71224413	+
865	chrX	23334858	23334859	+
866	chr1	2532955	2533004	+
867	chr9	14262317	14262318	-
868	chr11	22341703	22341704	+
869	chr9	125542018	125542019	-
870	chr7	27133921	27133922	+
