LinReg:ID,chromosome,MAPINFO,p-values,q-values,intercept,V1,V2,beta,statistic,UCSC_RefGene_Name,Relation_to_UCSC_CpG_Island
cg17130544,2,86183900,1.9736923e-05,0.21024329758813057,2.6294122,-0.02029087,-0.33021677,-1.8298978,-6.774427,nan,nan
cg26334035,1,219358252,2.0268066e-05,0.2107728460104378,5.741359,-0.033357423,-0.53972685,-3.951308,-6.7558684,LYPLAL1,nan
cg13952825,1,36020714,2.0525806e-05,0.2107728460104378,1.1238744,0.0035132237,0.14033347,-2.0373206,-6.7470484,KIAA0319L,N_Shore
cg10626536,6,106661780,2.0894626e-05,0.2107728460104378,1.9268397,0.0063924165,-0.09884283,-2.3940654,-6.7346296,ATG5,nan
cg01634612,15,23092545,2.1177406e-05,0.2107728460104378,3.379708,-0.012995859,-0.4961673,-4.1288633,-6.7252655,nan,nan
cg03995951,11,34929792,2.126325e-05,0.2107728460104378,6.134064,-0.023642026,-0.35071477,-5.2524123,-6.722449,APIP,nan
cg08089004,2,61719724,2.1576781e-05,0.21095087109625477,1.416262,0.005874928,0.28301778,-2.0864825,-6.712264,XPO1,nan
cg09549329,1,169854522,2.2497059e-05,0.2169759260084017,2.2268927,-0.0035506513,0.32983944,-2.3793561,-6.6832542,SCYL3,nan
cg26278487,10,22096453,2.356183e-05,0.22421531626263458,4.45968,-0.009084999,-0.13254754,-4.456112,-6.6512246,DNAJC1,nan
cg12607269,17,28242367,2.4218254e-05,0.22742948176475788,-0.83264095,0.04031083,0.8076799,-2.1371431,-6.6322365,SSH2,nan
cg00527928,1,213214870,2.6697482e-05,0.2474554943685441,1.7777966,-0.0043888935,-0.02027536,-2.2557278,-6.565154,nan,nan
cg05513583,10,3829456,2.8112943e-05,0.25723451205130216,1.7558873,0.0077154133,0.06104984,-2.437755,-6.5297627,nan,S_Shore
cg17428624,2,161345898,2.9615747e-05,0.26738205786823527,-0.3728821,0.03553252,0.9898314,-2.6146932,-6.4942026,RBMS1,N_Shelf
cg11919577,8,119291748,2.9971241e-05,0.26738205786823527,-0.9241498,0.03526819,0.5906534,-1.862463,-6.486071,SAMD12,nan
cg22882776,17,57806995,3.1559066e-05,0.2770013543988792,2.5197923,0.017380022,-0.24658133,-4.650714,-6.4509606,VMP1,nan
cg24640516,1,210004059,3.182572e-05,0.2770013543988792,-0.17427066,0.047858138,1.0316885,-3.6399572,-6.4452486,C1orf107,S_Shelf
cg07814763,7,73770020,3.257729e-05,0.28012661270144873,3.3350108,-0.0034315982,-2.1397986,-4.1831055,-6.429419,CLIP2,nan
cg13772503,3,176918271,3.3488308e-05,0.28453221259769634,4.701067,-0.022682715,-0.28948697,-3.6205575,-6.410743,nan,S_Shelf
cg08806670,10,80383717,3.4377925e-05,0.288654447375516,-0.20737806,0.019686555,0.7862151,-2.8592825,-6.3930197,nan,nan
cg16981614,12,107216023,3.6512432e-05,0.30104635381952716,4.681377,-0.021777363,-0.2897825,-4.0077744,-6.352407,RIC8B,nan
cg19010198,8,107478131,3.6697384e-05,0.30104635381952716,1.5941058,-0.006167689,0.23213114,-1.750592,-6.349007,OXR1,nan
cg20494466,9,80020821,3.732975e-05,0.3017252122905199,2.401062,0.01813675,0.2607014,-4.072733,-6.337519,VPS13A,nan
cg01147538,1,51171852,3.8357943e-05,0.3017252122905199,1.2059288,0.021556603,0.4042463,-2.9055502,-6.319275,FAF1,nan
cg22826803,4,153459998,3.8557188e-05,0.3017252122905199,9.770175,-0.056540303,-1.0319302,-6.979086,-6.315799,nan,S_Shelf
cg23468453,10,73906532,3.880127e-05,0.3017252122905199,5.8799686,-0.060018227,-0.24123427,-2.7100856,-6.311568,ASCC1,nan
cg14471458,13,100311614,3.8893937e-05,0.3017252122905199,2.9854293,-0.0193266,-0.377988,-2.1642475,-6.3099685,CLYBL,S_Shore
cg03325522,8,30859349,4.0274448e-05,0.30612577742938424,0.6027916,0.026829915,0.8061023,-3.2713835,-6.2866125,PURG,nan
cg21688540,3,106234714,4.0612056e-05,0.30612577742938424,-0.0059308507,0.04395135,0.7627735,-3.600545,-6.2810297,nan,nan
cg22483130,3,130407253,4.1494775e-05,0.30612577742938424,2.8739762,-0.01071022,0.2179091,-2.6437814,-6.266663,PIK3R4,nan
cg03624240,3,111469366,4.1567913e-05,0.30612577742938424,5.1799574,-0.03737919,-0.31685737,-3.2731848,-6.265487,PHLDB2;PLCXD2,nan
cg17336709,10,1091206,4.2033582e-05,0.30612577742938424,0.15338266,0.035653323,1.1057943,-2.9828334,-6.2580523,IDI1,N_Shelf
cg11248473,22,31900334,4.220799e-05,0.30612577742938424,3.0203922,0.015356901,0.17713115,-4.5218387,-6.25529,SFI1,nan
cg03130292,17,60642442,4.2463675e-05,0.30612577742938424,0.4335546,0.027539829,0.13456528,-2.6276214,-6.251262,TLK2,nan
cg18540375,16,57483866,4.47557e-05,0.3171431622886843,0.70747817,0.043619957,0.8369031,-4.050178,-6.2162666,COQ9,S_Shelf
cg02711637,10,81956231,4.4880657e-05,0.3171431622886843,-0.28795975,0.033146806,0.66196305,-4.656202,-6.2144136,ANXA11,nan
cg08873277,4,154423673,4.5973957e-05,0.3204660920556942,-0.048693977,0.023741333,0.7830863,-1.8253354,-6.1984315,KIAA0922,nan
cg13552832,9,18493888,4.6752568e-05,0.3204660920556942,-2.1416354,0.05104401,1.9107196,-2.3421326,-6.187293,ADAMTSL1,nan
cg12912786,3,71738644,4.708849e-05,0.3204660920556942,1.7425187,-0.0025718072,-0.44984248,-1.8063254,-6.1825485,EIF4E3,nan
cg08850555,17,78954253,4.7239573e-05,0.3204660920556942,1.7917976,0.014076542,0.3687723,-3.363895,-6.180426,nan,N_Shore
cg21403202,5,77660088,4.7595997e-05,0.3204660920556942,2.7648818,0.0022234055,-0.0655938,-3.27566,-6.1754475,SCAMP1,S_Shelf
cg18723227,3,194443726,4.8657595e-05,0.3220317500020731,1.3705422,-0.0034788458,0.26631266,-2.3849807,-6.16085,LOC100507391,nan
cg14625829,8,64120709,4.8730955e-05,0.3220317500020731,2.85855,-0.02020964,-0.23128007,-2.052642,-6.159854,YTHDF3,nan
cg10337562,10,75787769,5.0489092e-05,0.3305891431470769,1.5092877,0.0017390505,0.4985804,-2.2728903,-6.136443,VCL,nan
cg04333296,17,58180418,5.1225456e-05,0.3323614662949033,-3.6442354,0.0762883,1.4801811,-1.9189909,-6.126893,LOC653653,nan
cg14629168,6,33673794,5.2311796e-05,0.3363521239537206,-1.224713,0.044473637,1.1852746,-2.290945,-6.113067,UQCC2,nan
cg00796354,3,47155453,5.586071e-05,0.35031399896242393,1.5963875,-0.010781667,0.65215045,-2.0624685,-6.0699334,SETD2,nan
cg15618517,5,112161949,5.5927067e-05,0.35031399896242393,-2.16945,0.05704609,0.96925336,-1.7586497,-6.0691547,APC,nan
cg10743102,3,177055590,5.5955763e-05,0.35031399896242393,1.3867797,-0.0015651697,1.334554,-2.9231215,-6.0688186,nan,nan
cg02183960,5,35859088,5.6927092e-05,0.35329597050567035,6.275993,-0.016733887,-0.050445657,-5.8712616,-6.057538,IL7R,nan
cg09010113,7,23058751,5.776854e-05,0.35542740829865144,0.53218263,0.016901487,0.11598532,-1.7355559,-6.04793,nan,nan
cg11984586,3,57651926,5.8352285e-05,0.3559504354625227,1.5788687,0.009530767,0.3936493,-2.540355,-6.041351,DENND6A,nan
cg10188135,11,3975972,5.9275804e-05,0.358519655157055,1.1878457,0.02035811,0.54853475,-2.8361201,-6.031084,STIM1,nan
cg22980833,3,110833020,6.0960505e-05,0.3635410330781469,3.0754073,-0.008055646,-0.13116293,-2.8045275,-6.0127835,PVRL3,nan
cg15601195,17,65498589,6.147856e-05,0.3635410330781469,2.8793411,0.0022179934,-0.4677356,-2.9989588,-6.0072637,PITPNC1,nan
cg01797468,7,139112728,6.171521e-05,0.3635410330781469,15.909633,0.028143821,0.3303688,-19.193747,-6.0047584,nan,nan
cg24190821,7,129475723,6.264406e-05,0.3635410330781469,3.0407324,-0.009643334,-0.140474,-2.6078553,-5.9950233,UBE2H,nan
cg02433893,6,121752366,6.265288e-05,0.3635410330781469,2.6796446,-0.002606899,-0.078587815,-2.7930586,-5.9949317,nan,nan
cg19695822,14,51710280,6.4887645e-05,0.3695894904496007,2.4674525,-0.008662267,0.14123186,-2.2241328,-5.972125,TMX1,S_Shelf
cg06235145,4,17034835,6.519687e-05,0.3695894904496007,-1.0417646,0.047541887,-0.20989259,-2.5419865,-5.9690347,nan,nan
cg27396403,7,107387175,6.5248816e-05,0.3695894904496007,1.7261355,0.0010943598,-0.11594475,-2.288922,-5.9685173,CBLL1,S_Shelf
cg14298866,4,115184444,6.599438e-05,0.37081909044147604,0.7531202,0.014718809,0.07243409,-2.5561688,-5.9611363,nan,nan
cg14433598,3,49785733,6.70478e-05,0.37081909044147604,-0.9746999,0.04650161,0.40181512,-2.880163,-5.9508567,IP6K1,nan
cg16639568,9,124084497,6.739253e-05,0.37081909044147604,2.185219,-0.014891991,-0.15379244,-1.709887,-5.94753,GSN,nan
cg17850111,9,107543508,6.754418e-05,0.37081909044147604,2.7517235,-0.008907798,0.023156682,-2.6088984,-5.946072,ABCA1,nan
cg24351819,1,107598744,6.862403e-05,0.3738715784559902,-17.182524,0.03436106,1.606095,23.029097,5.9357905,PRMT6,N_Shore
cg27377225,22,42044559,7.186353e-05,0.3885546598705166,1.6738598,-0.0033385814,-0.19913125,-2.018797,-5.9059443,XRCC6,nan
cg13625881,5,112161859,7.29675e-05,0.390044501781203,-1.7228603,0.05029242,1.0489035,-1.9258242,-5.8960977,APC,nan
cg23256802,5,133313281,7.3593e-05,0.390044501781203,3.0578215,-0.012431068,-0.3795139,-2.8616264,-5.8905883,VDAC1,nan
cg25707951,15,57528690,7.398636e-05,0.390044501781203,3.0080762,-0.019807152,-0.0520729,-2.125444,-5.887149,TCF12,nan
cg04058422,10,71918743,7.432511e-05,0.390044501781203,4.3199553,0.000669074,-0.004202791,-4.896379,-5.884202,SAR1A,nan
cg18645527,2,38819905,7.500814e-05,0.3907557165999659,0.07489432,0.024301952,0.39346558,-1.8773423,-5.878304,HNRNPLL,nan
cg11654592,9,128602643,7.828944e-05,0.40233208946746535,4.895949,-0.02050145,-0.3219858,-3.9661262,-5.85074,PBX3,nan
cg04692238,12,43063317,7.835775e-05,0.40233208946746535,0.26020598,0.020646455,0.83574563,-2.5696168,-5.850179,nan,nan
cg07409448,14,53243822,8.248137e-05,0.41698575937120985,-2.2937982,0.072858796,1.7207872,-3.2519667,-5.8172526,GNPNAT1,nan
cg04782765,11,13227241,8.295775e-05,0.41698575937120985,0.6510369,0.02356902,-0.63367784,-2.4870176,-5.8135614,nan,nan
cg13769735,4,166183114,8.332417e-05,0.41698575937120985,4.6147094,0.012154228,0.10422916,-6.19746,-5.8107376,KLHL2,nan
cg00452079,3,73111175,8.354871e-05,0.41698575937120985,0.97166485,0.013542411,0.428223,-2.2124166,-5.809014,FLJ10213;PPP4R2,nan
cg00441271,5,10385624,8.7889326e-05,0.43560330349115856,1.4885496,0.016482878,-0.21037467,-2.621596,-5.7766166,MARCH6,nan
cg07256981,15,71081704,8.89348e-05,0.4370373657948221,1.2207717,-0.00030711092,0.28273347,-1.9218526,-5.7690663,nan,nan
cg05029312,4,22476976,8.940337e-05,0.4370373657948221,1.6049935,-0.0043412396,-0.31922424,-1.5266805,-5.7657127,GPR125,nan
cg11016055,8,29112308,9.24045e-05,0.4428573037521888,2.9441473,-0.02856612,0.72817564,-2.8828804,-5.744664,KIF13B,nan
cg11947915,8,55065479,9.243018e-05,0.4428573037521888,3.048964,-0.018218558,-0.35526153,-2.0654047,-5.7444873,nan,nan
cg27493823,10,101514697,9.326682e-05,0.4428573037521888,-0.9577347,0.051423807,-0.21321557,-2.945356,-5.73875,CUTC,nan
cg16061885,3,101556884,9.335855e-05,0.4428573037521888,5.9039135,-0.021461708,-0.42851636,-5.2944283,-5.738124,NFKBIZ,nan
cg23302621,3,111565199,9.369647e-05,0.4428573037521888,0.3602359,0.02040513,0.63141465,-1.9726965,-5.7358246,PHLDB2;PLCXD2,nan
cg12960031,13,73629039,9.545176e-05,0.44818557539273524,2.7622676,-0.016800875,0.037992198,-2.103167,-5.724019,KLF5,N_Shelf
cg08452590,2,55529467,9.6723365e-05,0.4496542594856987,3.4609108,-0.011784726,0.017982092,-2.9957364,-5.715609,CCDC88A,nan
cg12691434,4,186156008,9.702461e-05,0.4496542594856987,9.755674,-0.07704145,-1.3127025,-5.522835,-5.713634,SNX25,nan
cg16074812,8,11201250,9.830547e-05,0.4526510276418131,2.2994099,0.0053094127,0.7569865,-4.134952,-5.705307,TDH,N_Shelf
cg05454830,13,30809003,9.97088e-05,0.4561696733509542,2.9166844,-0.0035879568,-0.38407546,-3.107149,-5.696315,KATNAL1,nan
cg15867712,1,8932359,0.000103425584,0.4701601874927106,3.2076528,-0.019723713,0.07959588,-2.3950455,-5.67313,ENO1,nan
cg23149098,7,133169151,0.00010427352,0.47026433784433397,7.1284885,-0.07754109,-1.6703124,-2.3692915,-5.667964,EXOC4,nan
cg02708645,9,104225525,0.00010476631,0.47026433784433397,0.48729044,0.027694806,0.6024965,-2.670387,-5.664982,nan,nan
cg21229718,5,148894958,0.00010736304,0.4765796728223571,-1.3400186,0.04275663,0.74762577,-1.7660457,-5.6495094,CSNK1A1,nan
cg19271498,14,63943860,0.000107508764,0.4765796728223571,15.830775,-0.045637872,-0.8179852,-14.40303,-5.648653,PPP2R5E,nan
cg17056853,15,91293197,0.00011159144,0.48859840670140164,1.9158612,0.0022505445,0.3460827,-2.3522742,-5.6251416,BLM,nan
cg06695027,5,147773188,0.000112658774,0.48859840670140164,5.9414935,-0.04869812,-0.8353863,-3.3493493,-5.6191444,FBXO38,nan
cg22337440,10,17244758,0.0001126591,0.48859840670140164,4.30672,-0.010212094,-0.41991588,-4.3561683,-5.619143,TRDMT1,S_Shore
cg18836146,6,161355708,0.00011295838,0.48859840670140164,3.0873544,-0.009189427,-0.3089702,-4.5975122,-5.617472,nan,S_Shelf
cg24278073,4,125605559,0.00011773976,0.5062121558590026,3.2174706,0.0048166327,-0.12939301,-3.7748537,-5.5913954,ANKRD50,nan
cg07120031,2,102976268,0.00012192002,0.5210460135455294,-1.2311186,0.045209326,1.1481864,-2.464608,-5.5694976,nan,S_Shelf
cg02818334,8,28717317,0.00012302471,0.5226375461315911,15.84171,-0.19817278,-2.266336,-4.437273,-5.563843,INTS9,nan
cg13259357,3,191109928,0.00012625751,0.532120088196226,3.7668333,-0.010019812,0.12140269,-3.3936539,-5.547598,CCDC50,nan
cg06603568,7,93627006,0.00012674798,0.532120088196226,1.3136708,0.010582393,0.38525617,-2.2736225,-5.5451713,BET1,nan
cg04077692,1,243570771,0.00012901938,0.5354222838451946,3.1220076,-0.0168838,0.031096496,-2.5002117,-5.534063,SDCCAG8,nan
cg10456459,12,22843015,0.00012956947,0.5354222838451946,15.051202,-0.05748076,-0.8906773,-12.489187,-5.531404,ETNK1,nan
cg03312170,16,53815126,0.00012978516,0.5354222838451946,3.6366088,0.015296812,0.18058044,-5.065287,-5.5303645,FTO,nan
cg16445041,13,73424089,0.00013133285,0.5386934014087932,3.1715832,-0.002669181,0.2839821,-3.6483335,-5.522959,PIBF1,nan
cg21824297,15,44156711,0.00013221672,0.5392198379677056,-18.281902,0.015169794,0.4825996,19.521505,5.518771,WDR76,nan
cg19290403,4,185567382,0.00013570294,0.5502931539347794,1.5634677,0.010166126,-0.08534375,-2.303487,-5.502536,CASP3,N_Shelf
cg17009635,1,199712805,0.00013843758,0.5582108223407285,-3.6139448,0.082466066,1.4173381,-2.2797012,-5.4901056,nan,nan
cg25237755,15,90955818,0.00014075467,0.5605253436197771,8.735953,-0.10181174,-0.5094646,-4.4549003,-5.4797745,IQGAP1,nan
cg07858756,17,9273972,0.00014096727,0.5605253436197771,0.5152219,0.024755364,0.767705,-2.7151787,-5.478835,STX8,nan
cg19889694,11,93463960,0.00014214922,0.5605253436197771,-0.8573891,0.034568544,0.7451839,-1.8882828,-5.4736423,SNORA25,nan
cg11000397,3,23686329,0.00014215309,0.5605253436197771,1.4043322,0.0006848399,-0.08506505,-1.7577538,-5.4736257,nan,nan
cg16412047,7,140155810,0.00014449994,0.5652904860898675,2.2528238,-0.010534781,-0.004056873,-3.589694,-5.4634485,MKRN1,nan
cg06285439,2,206613589,0.0001452416,0.5652904860898675,0.075112015,0.017199516,0.12787898,-2.6047027,-5.4602685,NRP2,nan
cg15215077,6,119561839,0.00014573772,0.5652904860898675,5.1336355,-0.03341629,-1.7859488,-3.1245348,-5.458151,MAN1A1,nan
cg16533901,8,57901234,0.00014679143,0.5662998987898242,4.2427325,-0.0142237935,-0.019957433,-3.8829935,-5.453678,IMPAD1,nan
cg11802175,12,96190765,0.000148458,0.569650103072373,2.0338068,0.016254593,0.95786893,-4.7942696,-5.446673,nan,nan
cg07312943,15,40069872,0.00015126621,0.5773216575549269,0.7579776,0.014298413,0.76204807,-2.2927139,-5.4350543,FSIP1,nan
cg17978240,12,64472142,0.00015408652,0.5849575069608344,1.8147227,-0.0033395446,0.31996667,-1.9135877,-5.4236126,SRGAP1,nan
cg22192684,4,88382405,0.00015919372,0.5991218613696792,-0.77806205,0.045665942,0.6675636,-2.5229065,-5.4034433,nan,nan
cg01132987,20,34841933,0.00016104762,0.5991218613696792,4.95354,-0.029461222,-0.45694876,-3.2351077,-5.3962903,AAR2,nan
cg10061823,12,105535505,0.00016107208,0.5991218613696792,7.1118927,-0.065087676,-0.8231838,-3.19503,-5.396197,KIAA1033,nan
cg27504460,2,188169789,0.00016131905,0.5991218613696792,-2.3266418,0.06444686,1.458473,-2.6368985,-5.3952503,nan,nan
cg23217940,15,22954817,0.00016250327,0.5991218613696792,5.747216,-0.066211075,-0.94644386,-3.841842,-5.3907347,CYFIP1,nan
cg20867953,14,56132226,0.00016285435,0.5991218613696792,4.661658,-0.042553652,-0.17533264,-2.895953,-5.3894024,KTN1,nan
cg06166427,2,67124452,0.00016423558,0.6011047431614805,4.9082417,-0.04521022,-0.34228057,-3.4662287,-5.3841906,nan,nan
cg09575238,9,4345101,0.00016739215,0.6095320411766398,7.690531,-0.027563596,-1.9595209,-7.195336,-5.3724513,nan,nan
cg21521438,3,32417973,0.00017004,0.616030761146821,3.035508,-0.027838355,-0.4193389,-2.477968,-5.362782,nan,nan
