motif,NumOfProbes,PercentageOfProbes,lowerOR,upperOR,OR,p.value,FDR,TF family,TF subfamily,TF.family.member,TF.subfamily.member
PO3F4_HUMAN.H11MO.0.D,34,0.2518518518518518,2.38775123154234,5.409333939670351,3.634097969678537,6.290119528428411e-9,2.5524642928517395e-7,POU domain factors{3.1.10},POU3 (Oct-6-like factors){3.1.10.3},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F1B;POU5F2;POU6F1;POU6F2,POU3F1;POU3F2;POU3F3;POU3F4
FOS_HUMAN.H11MO.0.A,48,0.35555555555555557,2.3630791016496344,4.943159955444802,3.4356470727475714,2.0111891668733133e-10,1.107590605470946e-8,Fos-related factors{1.1.2},Fos factors{1.1.2.1},ATF3;FOS;FOSB;FOSL1;FOSL2;JDP2,FOSB;FOSL1;FOSL2;FOS
P5F1B_HUMAN.H11MO.0.D,31,0.22962962962962963,2.174041231969094,5.062750452079038,3.3609113030756976,1.1288335918912232e-7,3.2234470346227154e-6,POU domain factors{3.1.10},POU5 (Oct-3/4-like factors){3.1.10.5},HMBOX1;HNF1A;HNF1B;POU5F1B;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU6F1;POU6F2,POU5F1B;POU5F1
PO5F1_HUMAN.H11MO.1.A,32,0.23703703703703705,2.083690481953645,4.805242900137056,3.203540845077217,2.079258256306102e-7,5.343693718706683e-6,POU domain factors{3.1.10},POU5 (Oct-3/4-like factors){3.1.10.5},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F1B;POU5F2;POU6F1;POU6F2,POU5F1B;POU5F1
SOX2_HUMAN.H11MO.0.A,45,0.3333333333333333,2.0324437659288397,4.3026695265005275,2.975671498943132,2.530057576792315e-8,9.288925674794642e-7,SOX-related factors{4.1.1},Group B{4.1.1.2},BBX;CIC;HBP1;SOX1;SOX10;SOX11;SOX12;SOX13;SOX14;SOX15;SOX17;SOX18;SOX2;SOX21;SOX3;SOX30;SOX4;SOX5;SOX6;SOX7;SOX8;SOX9;SRY,SOX1;SOX21;SOX2;SOX3
PO2F2_HUMAN.H11MO.0.A,29,0.21481481481481482,1.9533376186183118,4.647571198134837,3.0568094425671353,1.4644208547457015e-6,2.8950473820741945e-5,POU domain factors{3.1.10},POU2 (Oct-1/2-like factors){3.1.10.2},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F1B;POU5F2;POU6F1;POU6F2,POU2F1;POU2F2;POU2F3
NFIL3_HUMAN.H11MO.0.D,24,0.17777777777777778,1.8537913822574228,4.721463772092374,3.0153272854686763,1.0686662755099654e-5,1.3507240957675136e-4,C/EBP-related{1.1.8},PAR factors{1.1.8.2},CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;DBP;DDIT3;HLF;NFIL3;TEF,DBP;HLF;NFIL3;TEF
LEF1_HUMAN.H11MO.0.A,35,0.25925925925925924,1.8466682576055333,4.149554569780097,2.7975570300326473,1.450007223799566e-6,2.8950473820741945e-5,TCF-7-related factors{4.1.3},LEF-1 (TCF-1alpha) [1]{4.1.3.0.4},LEF1;TAF1;TCF7;TCF7L1;TCF7L2,LEF1
BATF_HUMAN.H11MO.1.A,28,0.2074074074074074,1.8374585219525617,4.4236855152438554,2.894606673589813,5.370551281198905e-6,7.394098281793492e-5,B-ATF-related factors{1.1.4},B-ATF{1.1.4.0.1},BATF;BATF2;BATF3,BATF
SOX9_HUMAN.H11MO.1.B,23,0.17037037037037037,1.8328079258807954,4.747036309152421,3.009808879644121,1.5782953372200855e-5,1.9315328650741046e-4,SOX-related factors{4.1.1},Group E{4.1.1.5},BBX;CIC;HBP1;SOX1;SOX10;SOX11;SOX12;SOX13;SOX14;SOX15;SOX17;SOX18;SOX2;SOX21;SOX3;SOX30;SOX4;SOX5;SOX6;SOX7;SOX8;SOX9;SRY,SOX10;SOX8;SOX9
MNX1_HUMAN.H11MO.0.D,32,0.23703703703703705,1.827591466431135,4.2147311256620075,2.809782308185067,3.480363296304222e-6,5.160307887404914e-5,HOX-related factors{3.1.1},MNX{3.1.1.13},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F2;POU6F1;POU6F2,MNX1
PO2F3_HUMAN.H11MO.0.D,23,0.17037037037037037,1.8210739092539836,4.716519795412913,2.9905365287980135,1.73552709125893e-5,2.0586021344009772e-4,POU domain factors{3.1.10},POU2 (Oct-1/2-like factors){3.1.10.2},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F1B;POU5F2;POU6F1;POU6F2,POU2F1;POU2F2;POU2F3
SOX21_HUMAN.H11MO.0.D,21,0.15555555555555556,1.8125156969814327,4.874472814995003,3.0410807493350394,2.8684236458448242e-5,3.159363758494799e-4,SOX-related factors{4.1.1},Group B{4.1.1.2},BBX;CIC;HBP1;SOX1;SOX10;SOX11;SOX12;SOX13;SOX14;SOX15;SOX17;SOX18;SOX2;SOX21;SOX3;SOX30;SOX4;SOX5;SOX6;SOX7;SOX8;SOX9;SRY,SOX1;SOX21;SOX2;SOX3
JUNB_HUMAN.H11MO.0.A,41,0.3037037037037037,1.7716035942887558,3.8252639331097513,2.6233820497212137,1.5293463716744577e-6,2.947815131402517e-5,Jun-related factors{1.1.1},Jun factors{1.1.1.1},ATF2;ATF7;BACH1;BACH2;CREB5;JUN;JUNB;JUND;NFE2;NFE2L1;NFE2L2;NFE2L3,JUNB;JUND;JUN
SOX3_HUMAN.H11MO.0.B,32,0.23703703703703705,1.7371433011038595,4.0058663253578,2.6706774635688446,7.549443252894471e-6,1.0035553013761443e-4,SOX-related factors{4.1.1},Group B{4.1.1.2},BBX;CIC;HBP1;SOX1;SOX10;SOX11;SOX12;SOX13;SOX14;SOX15;SOX17;SOX18;SOX2;SOX21;SOX3;SOX30;SOX4;SOX5;SOX6;SOX7;SOX8;SOX9;SRY,SOX1;SOX21;SOX2;SOX3
PAX3_HUMAN.H11MO.0.D,17,0.1259259259259259,1.7015140082619709,5.045212918669672,3.0198127737700737,1.484557521600102e-4,0.0011892254508874974,Paired plus homeo domain{3.2.1},PAX-3/7{3.2.1.1},PAX3;PAX4;PAX6;PAX7,PAX3;PAX7
SOX7_HUMAN.H11MO.0.D,20,0.14814814814814814,1.6021904406107217,4.401398773620885,2.7214707530323876,1.7361593367562904e-4,0.0013658967843256122,SOX-related factors{4.1.1},Group F{4.1.1.6},BBX;CIC;HBP1;SOX1;SOX10;SOX11;SOX12;SOX13;SOX14;SOX15;SOX17;SOX18;SOX2;SOX21;SOX3;SOX30;SOX4;SOX5;SOX6;SOX7;SOX8;SOX9;SRY,SOX17;SOX18;SOX7
PO3F3_HUMAN.H11MO.0.D,34,0.2518518518518518,1.5816928141090547,3.582873739329079,2.407197302704648,3.4523537734762976e-5,3.6968954990975356e-4,POU domain factors{3.1.10},POU3 (Oct-6-like factors){3.1.10.3},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F1B;POU5F2;POU6F1;POU6F2,POU3F1;POU3F2;POU3F3;POU3F4
SOX11_HUMAN.H11MO.0.D,19,0.14074074074074075,1.5650319616403752,4.400015682167497,2.693504727974944,2.706818702481673e-4,0.002006689634243625,SOX-related factors{4.1.1},Group C{4.1.1.3},BBX;CIC;HBP1;SOX1;SOX10;SOX11;SOX12;SOX13;SOX14;SOX15;SOX17;SOX18;SOX2;SOX21;SOX3;SOX30;SOX4;SOX5;SOX6;SOX7;SOX8;SOX9;SRY,SOX11;SOX4
DBP_HUMAN.H11MO.0.B,21,0.15555555555555556,1.559480367837637,4.193097487977977,2.6164457329497854,3.102583179280236e-4,0.002207778997519059,C/EBP-related{1.1.8},PAR factors{1.1.8.2},CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;DBP;DDIT3;HLF;NFIL3;TEF,DBP;HLF;NFIL3;TEF
HLF_HUMAN.H11MO.0.C,21,0.15555555555555556,1.5585002889704942,4.190843401952427,2.6150487242351206,3.1118862412453255e-4,0.002207778997519059,C/EBP-related{1.1.8},PAR factors{1.1.8.2},CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;DBP;DDIT3;HLF;NFIL3;TEF,DBP;HLF;NFIL3;TEF
IRX3_HUMAN.H11MO.0.D,23,0.17037037037037037,1.5357178853035962,3.977115399096946,2.5218317156262744,2.1713706893452807e-4,0.0016618900802353807,TALE-type homeo domain factors{3.1.4},IRX (Iroquois){3.1.4.1},IRX1;IRX2;IRX3;IRX4;IRX5;IRX6;MEIS1;MEIS2;MEIS3;MKX;PBX1;PBX2;PBX3;PKNOX1;PKNOX2;TGIF1;TGIF2;TGIF2LX;TGIF2LY,IRX2;IRX3
CDC5L_HUMAN.H11MO.0.D,22,0.16296296296296298,1.5259035047846425,4.023841714684237,2.5317711909134712,2.8367578508252985e-4,0.002082990764748862,Myb/SANT domain factors{3.5.1},Myb-like factors{3.5.1.1},CDC5L;DMTF1;MYB;MYBL1;MYBL2;SMARCA1;SMARCA5;SNAPC4;TRERF1;ZNF541,CDC5L;MYBL1;MYBL2;MYB
ARX_HUMAN.H11MO.0.D,17,0.1259259259259259,1.5157239656178028,4.494568429880798,2.690217895676445,5.266583639939234e-4,0.003301248769425325,Paired-related HD factors{3.1.3},ARX{3.1.3.3},ALX1;ALX3;ALX4;ARGFX;ARX;CRX;DMBX1;DPRX;DRGX;DUX4;DUXA;ESX1;GSC;GSC2;HESX1;ISX;LEUTX;MIXL1;NOBOX;OTP;OTX1;OTX2;PHOX2A;PHOX2B;PITX1;PITX2;PITX3;PROP1;PRRX1;PRRX2;RAX;RAX2;RHOXF1;RHOXF2;SEBOX;SHOX;SHOX2;TPRX1;UNCX;VSX1;VSX2,ARX
TCF7_HUMAN.H11MO.0.A,24,0.17777777777777778,1.4690280437648164,3.7410323467722693,2.389402558373704,4.1630884409323704e-4,0.0027724189901371177,TCF-7-related factors{4.1.3},TCF-7 (TCF-1) [1]{4.1.3.0.1},LEF1;TAF1;TCF7;TCF7L1;TCF7L2,TCF7
ETV3_HUMAN.H11MO.0.D,22,0.16296296296296298,1.4545775032686863,3.8359574280715303,2.41344947561959,4.6670175287918795e-4,0.0029985587622487824,Ets-related factors{3.5.2},Ets-like factors{3.5.2.1},EHF;ELF1;ELF2;ELF3;ELF4;ELF5;ELK1;ELK3;ELK4;ERF;ERG;ETS1;ETS2;ETV1;ETV2;ETV3;ETV3L;ETV4;ETV5;ETV6;ETV7;FEV;FLI1;GABPA;SPDEF;SPI1;SPIB;SPIC,ERG;ETS1;ETS2;ETV2;ETV3;FEV;FLI1;GABPA
HXA9_HUMAN.H11MO.0.B,20,0.14814814814814814,1.4478786937975392,3.977241825761461,2.4590049459019045,6.846081820860868e-4,0.004060253141449023,HOX-related factors{3.1.1},HOX9-13{3.1.1.8},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F2;POU6F1;POU6F2,HOXA10;HOXA11;HOXA13;HOXA9;HOXB13;HOXC10;HOXC11;HOXC12;HOXC13;HOXC9;HOXD10;HOXD11;HOXD12;HOXD13;HOXD9
HXA10_HUMAN.H11MO.0.C,22,0.16296296296296298,1.4471524848114206,3.816351923779896,2.401093537487645,4.943300982620566e-4,0.0031498223616532694,HOX-related factors{3.1.1},HOX9-13{3.1.1.8},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F2;POU6F1;POU6F2,HOXA10;HOXA11;HOXA13;HOXA9;HOXB13;HOXC10;HOXC11;HOXC12;HOXC13;HOXC9;HOXD10;HOXD11;HOXD12;HOXD13;HOXD9
STA5A_HUMAN.H11MO.0.A,25,0.18518518518518517,1.4357931890595308,3.599876131152145,2.314710734380425,4.207172786589401e-4,0.0027724189901371177,STAT factors{6.2.1},STAT5A{6.2.1.0.5},STAT1;STAT2;STAT3;STAT4;STAT5A;STAT5B;STAT6,STAT5A
PO3F2_HUMAN.H11MO.0.A,21,0.15555555555555556,1.4357716379437937,3.861391156588365,2.40905293144961,6.243166533940331e-4,0.003731380928424802,POU domain factors{3.1.10},POU3 (Oct-6-like factors){3.1.10.3},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F1B;POU5F2;POU6F1;POU6F2,POU3F1;POU3F2;POU3F3;POU3F4
BSH_HUMAN.H11MO.0.D,18,0.13333333333333333,1.426342838398189,4.112473939565315,2.4909978818943754,0.0011856091270367782,0.006260990664009288,NK-related factors{3.1.2},BSX{3.1.2.3},BARHL1;BARHL2;BARX1;BARX2;BSX;DBX1;DBX2;DLX1;DLX2;DLX3;DLX4;DLX5;DLX6;EMX1;EMX2;EN1;EN2;HHEX;HLX;HMX1;HMX2;HMX3;LBX1;LBX2;MSX1;MSX2;NANOG;NKX1-1;NKX1-2;NKX2-1;NKX2-2;NKX2-3;NKX2-4;NKX2-5;NKX2-6;NKX2-8;NKX3-1;NKX3-2;NKX6-1;NKX6-2;NKX6-3;NOTO;TLX1;TLX2;TLX3;VAX1;VAX2;VENTX,BSX
TWST1_HUMAN.H11MO.0.A,24,0.17777777777777778,1.4241549748241533,3.626269235259174,2.316259120975713,5.424025910441252e-4,0.003320942008033735,Tal-related factors{1.2.3},Twist-like factors{1.2.3.2},ATOH1;ATOH7;ATOH8;BHLHA15;BHLHA9;BHLHE22;BHLHE23;FERD3L;FIGLA;HAND1;HAND2;LYL1;MESP1;MESP2;MSC;MSGN1;NEUROD1;NEUROD2;NEUROD4;NEUROD6;NEUROG1;NEUROG2;NEUROG3;NHLH1;NHLH2;OLIG1;OLIG2;OLIG3;PTF1A;SCX;TAL1;TAL2;TCF15;TCF21;TCF23;TWIST1;TWIST2,FIGLA;HAND1;PTF1A;TWIST1
HXC10_HUMAN.H11MO.0.D,34,0.2518518518518518,1.403258741406842,3.1788350129801146,2.135620764993733,3.525653291344809e-4,0.002415069933882742,HOX-related factors{3.1.1},HOX9-13{3.1.1.8},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F2;POU6F1;POU6F2,HOXA10;HOXA11;HOXA13;HOXA9;HOXB13;HOXC10;HOXC11;HOXC12;HOXC13;HOXC9;HOXD10;HOXD11;HOXD12;HOXD13;HOXD9
