Probe,GeneID,Symbol,Distance,Sides,Raw.p,Pe
cg07850454,ENSG00000237758,BANF1P3,-22853,L2,0.09696542614120533,0.0297029702970297
cg08277137,ENSG00000242372,EIF6,-27207,L2,0.09696542614120533,0.0297029702970297
cg08878436,ENSG00000151239,TWF1,-163761,L2,0.09696542614120533,0.0297029702970297
cg09032791,ENSG00000231333,RPL34P6,17074,R1,0.09696542614120533,0.0297029702970297
cg09201221,ENSG00000172795,DCP2,-518,L2,0.09696542614120533,0.0297029702970297
cg09201221,ENSG00000047188,YTHDC2,490978,R1,0.09696542614120533,0.0297029702970297
cg09892947,ENSG00000116717,GADD45A,58559,R1,0.09696542614120533,0.0297029702970297
cg10581129,ENSG00000215049,PRDX2P1,70580,R1,0.09696542614120533,0.0297029702970297
cg10844712,ENSG00000240342,RPS2P5,15832,R1,0.09696542614120533,0.0297029702970297
cg11960010,ENSG00000163016,ALMS1P1,136848,R1,0.09696542614120533,0.0297029702970297
cg12633652,ENSG00000116285,ERRFI1,839,L1,0.09696542614120533,0.0297029702970297
cg14124194,ENSG00000119820,YIPF4,-105674,L2,0.09696542614120533,0.0297029702970297
cg14124194,ENSG00000279897,BIRC6-AS2,135002,R1,0.09696542614120533,0.0297029702970297
cg14629168,ENSG00000137288,UQCC2,-0,L1,0.09696542614120533,0.0297029702970297
cg15296758,ENSG00000224367,OACYLP,80331,R1,0.09696542614120533,0.0297029702970297
cg15555000,ENSG00000155329,ZCCHC10,-45570,L2,0.09696542614120533,0.0297029702970297
cg16236275,ENSG00000218313,AL139274.1,-7917,L2,0.09696542614120533,0.0297029702970297
cg16236275,ENSG00000164411,GJB7,100755,R1,0.09696542614120533,0.0297029702970297
cg16521851,ENSG00000228721,AC016909.1,-902176,L2,0.09696542614120533,0.0297029702970297
cg16624984,ENSG00000149948,HMGA2,-0,L1,0.09696542614120533,0.0297029702970297
cg17293973,ENSG00000152154,TMEM178A,-3144,L1,0.09696542614120533,0.0297029702970297
cg17293973,ENSG00000138050,THUMPD2,14950,R1,0.09696542614120533,0.0297029702970297
cg17819066,ENSG00000068784,SRBD1,-0,L1,0.09696542614120533,0.0297029702970297
cg17850111,ENSG00000165028,NIPSNAP3B,-3462,L2,0.09696542614120533,0.0297029702970297
cg17850111,ENSG00000165029,ABCA1,-0,L1,0.09696542614120533,0.0297029702970297
cg17978240,ENSG00000255780,AC020611.1,-45696,L2,0.09696542614120533,0.0297029702970297
cg18283624,ENSG00000137473,TTC29,-393475,L2,0.09696542614120533,0.0297029702970297
cg18758900,ENSG00000149948,HMGA2,98509,R1,0.09696542614120533,0.0297029702970297
cg19893316,ENSG00000212549,RNA5SP354,-305427,L2,0.09696542614120533,0.0297029702970297
cg20407675,ENSG00000170145,SIK2,-0,L1,0.09696542614120533,0.0297029702970297
cg20410553,ENSG00000230593,PPIAP40,-61862,L2,0.09696542614120533,0.0297029702970297
cg21229718,ENSG00000127743,IL17B,-111192,L2,0.09696542614120533,0.0297029702970297
cg21229718,ENSG00000113712,CSNK1A1,-0,L1,0.09696542614120533,0.0297029702970297
cg21720454,ENSG00000112695,COX7A2,245129,R1,0.09696542614120533,0.0297029702970297
cg21852417,ENSG00000240761,AC098831.1,-6714,L2,0.09696542614120533,0.0297029702970297
cg23302621,ENSG00000144824,PHLDB2,-0,L1,0.09696542614120533,0.0297029702970297
cg23371833,ENSG00000177311,ZBTB38,-0,L1,0.09696542614120533,0.0297029702970297
cg23468453,ENSG00000226701,RPL15P14,43165,R1,0.09696542614120533,0.0297029702970297
cg23488180,ENSG00000164532,TBX20,-447012,L2,0.09696542614120533,0.0297029702970297
cg25594833,ENSG00000227034,AL445433.1,25974,R1,0.09696542614120533,0.0297029702970297
cg25913016,ENSG00000213090,AC007256.1,-5933,L2,0.09696542614120533,0.0297029702970297
cg26636443,ENSG00000253623,AC009879.1,-25124,L2,0.09696542614120533,0.0297029702970297
cg26636443,ENSG00000285791,AC009879.3,-0,R1,0.09696542614120533,0.0297029702970297
